,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0460,4.483094,2.1893213,10.628102,2.667727,4
MB-5482,3.2241638,0.8754039,9.084194,3.3990736,10
MB-7161,4.115684,4.1429715,9.855497,3.8452399,6
MB-6010,4.1979547,2.3669634,8.916273,2.883587,10
MB-7035,5.171654,3.340092,9.681098,2.1120985,5
MB-0353,5.4675574,4.022906,9.800314,2.8511603,7
MB-5484,5.583032,3.6349823,8.081792,4.013409,7
MB-0167,4.676122,4.3154483,8.29282,2.5877,9
MB-3006,3.8463082,2.530487,10.415732,2.4743547,4
MB-0657,4.434675,3.117608,10.29229,3.0933483,4
MB-6190,5.332194,3.6910894,9.57856,3.5775523,4
MB-4212,4.609258,4.112004,8.521926,4.760403,4
MB-0370,5.5671105,3.6063566,8.993585,2.1874998,9
MB-3395,3.8379402,0.7186201,9.338942,2.7965345,10
MB-0882,5.702239,4.4557815,8.594389,3.5633202,7
MB-2769,4.0616527,4.3305025,10.157359,2.325456,7
MB-4694,3.421441,0.71526885,8.856126,3.294057,10
MB-5059,3.93565,5.2659736,8.298052,3.5988715,8
MB-7085,4.1309853,4.1161685,9.799779,3.9022586,7
MB-4719,4.1344876,5.6966667,8.790329,3.3875215,8
MB-0551,4.687387,2.4954083,10.626009,3.347001,4
MB-0552,5.2076516,3.3732235,9.719665,2.098331,5
MB-7197,4.1334844,5.3879843,9.32357,3.1936457,8
MB-0408,5.3789988,3.3449814,8.854604,2.7429125,7
MB-0202,5.320928,3.4551752,9.72333,2.7596397,4
MB-3367,3.7118504,0.8183985,9.264366,2.608774,10
MB-0541,5.552447,3.6918564,8.999907,2.286457,9
MB-0617,4.3905425,2.4131563,10.662544,2.6713333,4
MB-5413,5.0370445,3.7404225,8.630595,4.319593,7
MB-2556,4.1544895,2.3991792,10.7038355,2.7199888,4
MB-4707,3.0807035,0.647186,9.244244,3.0391703,10
MB-0537,4.615036,2.5094473,10.794299,3.1920881,4
MB-2763,4.3537884,4.1825156,10.284395,2.7727284,4
MB-3252,4.105062,2.7842479,10.691959,3.0570457,3
MB-6141,4.70083,4.794646,8.379915,4.227585,8
MB-0445,5.826896,3.4294786,8.739107,3.0245652,7
MB-0291,4.5168996,4.673562,8.6564045,2.0889952,5
MB-5635,5.2034097,4.8130083,10.242245,3.9272144,4
MB-7252,4.132094,1.597702,8.987176,3.1495025,4
MB-7106,3.966887,4.372335,9.829645,3.8365471,2
MB-2994,3.5731428,4.44257,9.852363,2.4250214,5
MB-6312,4.51076,4.189882,7.967889,3.8820064,9
MB-0666,4.351296,3.4914122,9.277145,2.8181157,9
MB-6085,4.017876,2.7148242,9.688396,3.3734436,4
MB-0479,4.1629252,2.9999893,9.329567,2.533995,5
