,Component_1,Component_2,Component_3,Component_4,label
421,4.670435,4.3415074,8.983124,4.346424,10
422,4.427532,2.1800866,9.36686,3.5966535,8
423,4.048216,4.486437,8.330627,2.5415466,10
424,3.4373004,0.7699888,9.327069,3.3410852,3
425,4.1096826,5.3565307,8.532559,3.1533127,7
426,4.867605,4.559887,9.057237,4.48317,8
427,3.565184,0.7846186,9.072202,3.005648,4
428,4.8531704,4.915847,9.495159,2.8034227,4
429,4.558188,2.9710386,10.399941,2.3711078,4
430,3.0342724,3.758593,10.224055,2.1782668,5
431,5.112701,5.146804,9.277656,3.7698286,8
432,4.2909036,1.9091985,9.112051,2.702895,4
433,4.7613688,4.331667,8.422605,2.2443805,3
434,4.1016912,4.2652645,9.983762,3.7144015,2
435,4.708148,4.395264,8.515334,4.4969964,7
436,3.6535184,0.685136,9.360138,2.8874907,5
437,4.629107,4.786553,8.436289,2.5846062,8
438,4.660738,2.6017497,10.59304,3.0278213,5
439,3.0789282,3.8297126,9.979501,2.2390118,4
440,5.084303,5.3667827,10.4064245,3.4476051,3
441,4.6683917,3.615748,8.90201,3.3165987,9
442,4.952849,4.57403,9.120399,4.2499266,10
443,4.4075694,1.0757976,9.395693,2.7462156,7
444,4.1532817,1.8479494,9.030163,3.0040817,7
445,5.0071616,4.3791766,9.377582,3.7112145,3
446,4.704157,4.015466,9.382921,3.539041,8
447,5.233861,4.4165277,8.582853,3.9107816,8
448,3.4992464,0.58212775,9.088768,3.2096446,7
449,4.2278733,1.6570084,10.507986,2.5952296,2
450,4.338638,3.4483294,8.55453,4.43352,9
451,5.7985716,3.4562306,8.434122,3.2510931,3
452,3.109844,0.72332007,9.257955,3.2104692,7
453,4.1610427,4.036339,9.028655,3.9621882,5
454,4.3245144,1.9320866,8.947789,3.478528,4
455,3.9268355,4.3148155,9.787435,3.9218476,10
456,4.760967,2.941371,10.121368,3.8054712,5
457,3.6852155,1.7182541,9.342396,2.6064463,2
458,4.4112163,1.0699863,9.400114,2.7908347,8
459,4.322473,3.5036647,9.949113,1.9624674,9
460,4.247674,1.8082768,9.030637,2.8386602,5
461,3.8914468,4.4484057,8.623909,3.5366201,5
462,3.0145304,3.6773067,10.311888,2.2167604,5
463,4.511995,3.631229,8.994056,1.9609469,8
464,4.920419,4.5699687,8.330419,4.9189105,3
465,5.471042,4.079242,9.459628,2.8741107,4
466,4.7737937,4.714752,8.612979,4.3978915,3
467,4.133425,3.9043543,9.123175,4.122731,1
468,4.031064,5.082853,9.483333,2.1918159,2
469,3.4192388,4.5419674,9.761458,2.453941,7
470,4.770812,3.1921787,9.998121,2.5875194,9
471,3.760163,4.987106,9.410361,1.9763366,10
472,4.2926326,5.5099373,9.258854,2.683219,10
473,4.315965,8.738928,6.161559,-0.41879994,1
474,3.9745812,5.3793545,9.279077,2.4724452,8
475,4.256767,5.084415,9.078037,2.152977,5
476,3.345137,0.6787215,9.02617,3.2670443,7
477,3.8513415,4.1449695,9.592801,3.9465668,4
478,5.0784497,5.0512896,10.10942,3.7524974,10
479,3.8962152,0.9530617,9.208347,3.0287933,5
480,4.0752797,3.3039174,8.687056,3.3271217,4
481,4.922104,4.276728,9.182252,2.1575184,10
482,4.6356053,4.475501,9.727819,2.3673253,1
483,4.198979,4.6882706,7.751367,5.024097,10
484,4.2800417,1.4335892,9.714612,2.4476945,4
485,4.281024,3.771966,8.948522,4.208293,8
486,3.47579,0.99844706,9.485298,3.213198,7
487,3.8542776,4.3313193,9.004992,2.8695695,7
488,3.7334192,5.032923,8.821594,2.5035036,8
489,4.3862367,3.2075484,8.624251,4.202699,3
490,3.375569,3.943844,9.920888,2.9736772,4
491,3.061812,0.61208236,9.111857,3.2221415,4
492,4.7979493,3.7680798,10.067097,2.1211696,4
493,5.19226,3.9112632,8.185376,3.0848758,4
494,5.242299,4.559619,9.090197,3.648992,8
495,3.8516045,1.2529737,9.588289,3.1305928,4
496,4.4815497,4.930149,8.447468,2.6737328,7
497,3.879583,1.3278755,9.531786,2.974061,7
498,4.3914948,3.8277726,9.514409,1.8466583,7
499,4.0128574,4.277166,8.7375145,4.05172,7
500,4.026968,4.5738726,8.399272,4.257177,3
501,4.2695446,2.8861043,10.382604,3.129046,8
502,5.5061436,4.1867676,8.825585,3.312112,3
503,3.4838874,1.0155581,9.379594,2.7450936,4
504,3.9309182,2.3211205,9.825887,3.2132368,5
505,5.303291,5.468161,10.601272,3.6361518,3
506,4.196105,3.954785,9.423045,3.6675766,3
