,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-2900,2.5841615,0.7428589,11.639377,2.0364158,4
MB-5302,3.1295578,0.7769726,10.229083,2.9829946,3
MB-4293,3.2415016,0.23974197,9.807364,2.2852914,8
MB-0378,1.9800615,1.6955595,10.905404,2.3227394,5
MB-3600,1.5892509,1.3040175,10.369601,2.1712854,9
MB-5389,2.0036533,0.07147201,10.34161,2.235501,7
MB-0347,2.3444154,1.8358215,11.369202,2.9742737,4
MB-3824,2.016172,0.92133784,10.243384,1.7329346,2
MB-3049,2.0294733,0.7262005,11.446235,2.3190973,7
MB-7295,2.1531887,1.3244144,10.971983,1.6305382,3
MB-4283,3.106234,0.19325382,9.640225,2.640034,8
MB-2954,2.6164265,0.5387994,10.289827,1.1028907,8
MB-7001,2.3300064,0.73141396,10.683342,1.2485561,5
MB-5215,2.416405,-0.077852115,10.027969,2.3417425,8
MB-3436,2.0971918,1.2165276,10.646579,1.628683,1
MB-0426,2.310092,1.1861218,10.734797,1.3880376,3
MB-5580,2.135917,0.15181169,10.772294,2.453244,4
MB-5547,3.3345947,1.567209,10.9170885,2.987709,10
MB-4855,1.7995782,0.35476243,10.227435,2.4303637,7
MB-5625,3.0844893,1.3838243,11.109231,2.681227,9
MB-0436,2.0788293,1.4485903,11.140457,2.3898816,4
MB-5208,2.7813194,1.7183125,10.890735,2.734764,10
MB-6201,1.7194525,0.93485177,9.995463,2.7416384,9
MB-4303,3.1780138,0.66235423,9.968434,3.4416296,4
MB-7051,2.361467,0.4144612,10.862995,2.361915,6
MB-5104,2.6581788,0.06200984,10.242285,2.7948177,8
MB-0564,2.1147978,1.3873563,11.269998,2.7018714,4
MB-7145,3.2922878,1.8689369,11.32905,2.6646574,10
MB-6188,2.9376602,2.0067766,11.113754,3.0548966,10
MB-0110,2.7032263,0.54550904,11.345483,2.634236,3
MB-0425,2.5968976,0.8726976,10.121253,1.309626,3
MB-0260,2.067929,0.96742153,10.865996,1.6429104,3
MB-0193,2.1349819,0.55103725,10.184441,1.8057768,3
MB-5048,1.935424,0.2827472,10.31405,2.657806,7
MB-0279,2.191348,1.240451,11.589011,2.7191284,4
MB-5064,1.9077551,-0.30542484,10.792151,2.1609223,4
MB-0594,1.7447631,0.70521915,10.67436,1.9039636,4
MB-0247,2.3269281,1.5801431,10.900192,1.9836779,4
MB-0559,1.5898182,0.85209256,10.125783,2.5227957,7
MB-3545,2.6879897,0.9763779,11.451432,1.920605,7
MB-6108,2.3484178,0.89980674,11.253375,2.7116368,4
MB-0160,2.188379,0.6929814,11.70109,2.8380933,4
MB-0064,2.443195,1.0875343,11.311558,0.89669496,3
MB-2797,1.7765489,0.64799654,10.661492,1.9139092,6
MB-2854,2.6466954,0.5660259,11.293413,1.8477238,7
MB-7077,2.0071502,1.091849,10.790958,2.0553873,3
MB-5490,2.795807,0.520316,9.9305725,1.6082354,8
MB-4274,2.8947139,0.24647267,9.604173,2.2863083,8
MB-7024,2.0898194,1.4266225,10.446124,1.7556759,1
MB-6075,2.1529427,0.430862,9.62166,2.7524846,7
MB-4871,2.4908144,1.2113621,11.093449,2.6739933,5
MB-7159,3.3339133,1.6419103,10.800447,2.6569793,10
MB-4674,1.9303586,0.021042047,10.089149,2.3998063,7
MB-6105,2.1263866,1.0538636,10.44595,2.851453,7
